#Region,#State,#City,#Sales Method,#Product_Name,#Product_ID,#Discount,#Description,#Rating,#Reviews,#Right_Side_Img,#Sole_Img,#Left_Side_Img,#Top_Img,#Angle_Img,#Back_Side_Img,#Price_Amount,#Listing_Price_Amount,
Northeast,New York,New York,In-store,Nike Air Force 1 '07 Essential,CJ1646-600,10,Let your shoe game shimmer in the Nike Air Force 1 '07 Essential. It takes the classic AF-1 design to the next level with its premium leather upper and iridescent Swoosh.,0,0,https://static.nike.com/a/images/t_PDP_1728_v1/20488f52-3686-476c-b4b8-0ca430c34a05/air-force-1-07-essential-shoe-BHN3Db.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e9fe72b4-a153-4019-8ea6-9f31230b247c/air-force-1-07-essential-shoe-BHN3Db.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/490add03-5c99-403d-b456-48036981ac92/air-force-1-07-essential-shoe-BHN3Db.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/d4e9d5d6-3c97-4e58-bed6-1a2780519612/air-force-1-07-essential-shoe-BHN3Db.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/8222053d-ec2a-4ba9-a8bb-7fe7e2108dad/air-force-1-07-essential-shoe-BHN3Db.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/55111c5b-d5ea-4919-8d16-4af85bcdf0ae/air-force-1-07-essential-shoe-BHN3Db.jpg,$7495,$0,
Northeast,New York,New York,In-store,Nike Air Force 1 '07,CT4328-101,10,"The legend lives on in the Nike Air Force 1 '07, a modern take on the iconic AF1 that blends classic style with fresh colours and details.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/67e9c661-4cbb-4ff3-963f-49c0a219ba22/air-force-1-07-shoe-jKJ8T4.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/b1ed2d84-1daa-40d8-99b5-b9e49bcaa847/air-force-1-07-shoe-jKJ8T4.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/de328105-55fd-4929-8ce7-84b757e16208/air-force-1-07-shoe-jKJ8T4.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/2d09a770-c245-4944-94fe-b814dde3c8f3/air-force-1-07-shoe-jKJ8T4.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/fc94524c-f482-4a36-bdf3-85cf1e169448/air-force-1-07-shoe-jKJ8T4.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/83b32091-6641-4589-8fbf-351db9eb874f/air-force-1-07-shoe-jKJ8T4.jpg,$7495,$0,
Northeast,New York,New York,In-store,Nike Air Force 1 Sage Low LX,CI3482-200,10,"Taking both height and craft to new levels, the Nike Air Force 1 Sage Low LX features a platform midsole and pared-down upper. Rolled edges and clean lines replace traditional overlays for a bold look.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/9c4f5787-cfca-49e1-ad6b-d8058da06a4c/air-force-1-sage-low-lx-shoe-nTkdbB.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/0adfe5c6-7948-4a79-ab0f-42afa8f669cd/air-force-1-sage-low-lx-shoe-nTkdbB.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/ecc5d779-08f6-4874-9707-a5f390fe40ef/air-force-1-sage-low-lx-shoe-nTkdbB.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/5367a63a-7c0f-41c0-ad75-3a6dc8b67518/air-force-1-sage-low-lx-shoe-nTkdbB.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/1e556acc-f95e-4051-b5e2-e462ee9edc89/air-force-1-sage-low-lx-shoe-nTkdbB.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/59a51ae0-7832-4b70-934b-a38e2d8db399/air-force-1-sage-low-lx-shoe-nTkdbB.jpg,$9995,$0,
Northeast,New York,New York,In-store,Nike Air Max Dia SE,CD0479-200,10,"Designed for a woman's foot, the Nike Air Max Dia delivers a lifted look and airy aesthetic in a sleek shape. The minimal upper modernises the look while the exaggerated midsole amplifies the Max Air unit surrounded by clear TPU for a boost of style.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/17c7e995-7b18-43ff-87cb-ce0e239f4fe5/air-max-dia-se-shoe-CH3Phk.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/0ba9a88d-576c-4c60-94ec-6ad8c52b2249/air-max-dia-se-shoe-CH3Phk.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/0577e913-f692-4e45-bdf6-d9bbb21a3402/air-max-dia-se-shoe-CH3Phk.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/bed0afea-98e5-46b2-8f44-e0909d469602/air-max-dia-se-shoe-CH3Phk.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/3e187963-5a01-4646-85da-15f2ed253f54/air-max-dia-se-shoe-CH3Phk.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/f214164e-0a55-4dd3-81cc-73d530de444d/air-max-dia-se-shoe-CH3Phk.jpg,$9995,$0,
Northeast,New York,New York,In-store,Nike Air Max Verona,CZ6156-101,10,"Pass on the good vibes in the Nike Air Max Verona. Elegant and versatile, its mixed-material upper features a plush collar, flashy colours and unique stitching patterns. The Nike Air cushioning adds a modern twist, comfort and style to your journey.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/i1-5150aab0-88d1-4b92-ac2a-34d9d7710163/air-max-verona-shoe-BN7zWH.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-f4f2a89e-c52e-41c9-a7e5-3e61b3f84a22/air-max-verona-shoe-BN7zWH.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-058ea182-88de-4d4e-bccc-e44b692770e6/air-max-verona-shoe-BN7zWH.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-36e9ed9e-d659-4f2d-a4b8-12c214ab433f/air-max-verona-shoe-BN7zWH.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-a048b050-ffb1-4b45-ad60-5066ee7e6e92/air-max-verona-shoe-BN7zWH.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-7b5be0b1-adf4-4b0e-ae01-a03f5d3d5a2e/air-max-verona-shoe-BN7zWH.jpg,$9995,$0,
Northeast,New York,New York,In-store,Nike Free Metcon 3,CJ6314-146,10,"The Nike Free Metcon 3 combines the flexibility of a Nike Free sole with the flat, wide heel of the Metcon to keep you fast but stable on your feet from weightlifting to speed drills.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/2dbb7f8c-e1ab-4684-a36e-cea5df876111/free-metcon-3-training-shoe-NMfJ2J.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/b18a977a-4e36-49e9-92ff-fb1ed5a2691c/free-metcon-3-training-shoe-NMfJ2J.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/f7d5a894-4d81-422d-a155-e843f9f1e0e3/free-metcon-3-training-shoe-NMfJ2J.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/6b96b3ff-1586-46c7-9f97-35ae6cbd05fd/free-metcon-3-training-shoe-NMfJ2J.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/bb4ed098-c148-45d9-b4f6-a0a72c454886/free-metcon-3-training-shoe-NMfJ2J.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/ffb68b34-c159-435b-ad4e-2d545c9c8166/free-metcon-3-training-shoe-NMfJ2J.jpg,$9995,$0,
Northeast,New York,New York,In-store,NikeCourt Blanc,CI0808-100,10,"Inspired by heritage models, the NikeCourt Blanc goes with anything and everything. Leather in the upper gives you a clean look with pops of colour for a simple, versatile style that nods to the past.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/308cb920-402a-45e6-9e91-ab1fd2b6bef2/nikecourt-blanc-shoe-lKw62P.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/6597a794-fcb6-44f0-b80e-c530f33b208e/nikecourt-blanc-shoe-lKw62P.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/9eaaa8a7-198e-44e2-b6b3-4f715b0c8ad1/nikecourt-blanc-shoe-lKw62P.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e40ff4c6-7031-4e46-b908-5054491f0df7/nikecourt-blanc-shoe-lKw62P.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/50c6e4d6-ba3f-4366-b3a7-5e922414a5a6/nikecourt-blanc-shoe-lKw62P.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/41dcd09b-4044-4478-83bf-75da511aaaaf/nikecourt-blanc-shoe-lKw62P.jpg,$5995,$0,
Northeast,New York,New York,Outlet,Nike Free Metcon 3,CJ0861-017,10,"The Nike Zoom Pegasus Turbo 2 is updated with a feather-light upper, while innovative foam brings revolutionary responsiveness to your long-distance training.",3,14,https://static.nike.com/a/images/t_PDP_1728_v1/i1-1744f98f-e160-4e46-a574-512f4a46bcd6/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-4f1ed73d-5099-4cac-b53d-94e8435ea3f4/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-8416b75f-b452-4d72-a877-56ab51f09556/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-9c076ea8-adad-4b13-860c-4b12b4b5eeef/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-7c7774b2-47eb-4d7d-bf92-406d046f3e00/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-7aca6211-d4f8-49af-b4e4-ff6d9102165b/zoom-pegasus-turbo-2-running-shoe-sQMJVQ.jpg,$15995,$0,
South,Texas,Houston,Outlet,Nike Zoom Gravity,BQ3202-011,10,"Kevin Durant likes a shoe that feels broken-in straight away but still provides containment and support. The KD Trey 5 VII EP hits the ground running with a combination of bouncy cushioning with a precise, supportive fit that's ready to go right out of the box.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/i1-43628759-0d10-4532-aa38-1d7688da5b54/kd-trey-5-vii-ep-shoe-HHVZxG.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-9c621f29-77cb-43fb-9721-18dfa0e73294/kd-trey-5-vii-ep-shoe-HHVZxG.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-bd780b04-e07d-4e5d-b487-ba33e2156dac/kd-trey-5-vii-ep-shoe-HHVZxG.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-77519024-4100-461d-94a9-5b33fe969e90/kd-trey-5-vii-ep-shoe-HHVZxG.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-5744db1a-bcba-4ab7-8a64-cc83106f24ea/kd-trey-5-vii-ep-shoe-HHVZxG.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-fa67fbbc-c1c5-4738-8b28-7b7e1de9f6d4/kd-trey-5-vii-ep-shoe-HHVZxG.jpg,$7995,$0,
South,Texas,Houston,Outlet,Nike Air Max 270 React ENG,CD0113-400,10,"The soft upper of the Nike Mercurial Vapor 13 Academy TF Shoe wraps your foot for a second-skin fit, while the rubber outsole helps super-charge traction on turf.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/b4ad3b68-d1a2-4fcd-9ea9-b68d5dcea6c7/mercurial-vapor-13-academy-tf-football-shoe-SWGkHF.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/8b863f06-7508-4fdf-a119-2b85de58ab53/mercurial-vapor-13-academy-tf-football-shoe-SWGkHF.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/7280d9d1-6894-48e5-972c-8ece69adddda/mercurial-vapor-13-academy-tf-football-shoe-SWGkHF.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/12c5a3c1-0650-441d-b1b6-e46be7a0f137/mercurial-vapor-13-academy-tf-football-shoe-SWGkHF.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/5f00b042-09f3-4ce0-a52c-c4c82ff92efb/mercurial-vapor-13-academy-tf-football-shoe-SWGkHF.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/c09a5369-a2ae-4c95-b312-fb6611eda639/mercurial-vapor-13-academy-tf-football-shoe-SWGkHF.jpg,$7495,$0,
South,Texas,Houston,Outlet,Nike Air Force 1 Type,CQ2344-100,10,"An update to the ultra-fast Jordan React Havoc, the SE maintains its responsive cushioning combination while revamping elements of the upper. The transparent heel clip offers the same great heel lockdown but with a new aesthetic. A synthetic suede and striped-line mudguard provides lightweight lateral support. The updated tongue reduces lace pressure and provides easy on and off.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/82352767-a3db-46fe-bf7b-b0e03edc01aa/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/f3661240-0a1a-4dae-912d-85ebd92354f8/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/3871f796-d3fe-4db6-800b-b7b31244bf58/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/b89db0f2-c56f-439c-8794-dbf0a77e53d4/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/0399cd55-8085-4098-864f-1088d079dd02/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/b5b0eabf-20f0-4e2e-91f6-af16a799a62e/jordan-react-havoc-se-running-shoe-FLQ4bZ.jpg,$10995,$0,
South,Texas,Houston,Outlet,Nike Air Max 270 React,AO4971-700,10,"The Nike SB Air Max Stefan Janoski 2 hugs your foot with a breathable textile upper. A Max Air unit in the heel cushions every step, while a flat rubber outsole optimises grip when you're on your board.",3,11,https://static.nike.com/a/images/t_PDP_1728_v1/i1-88481531-ade2-4be2-b280-de4dfefb25f8/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-4b4edfdb-241f-4ed9-ae39-da98426535ad/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-1c4c36ec-f365-4e74-9c97-17c58dbd6b83/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-d33b486b-0ab1-4af8-90a9-5f2fa6d55073/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-6b93eca7-9723-49a6-a3aa-efda859d6106/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/i1-e513cae2-4d45-4f1c-bd77-b70b8b21f136/sb-air-max-stefan-janoski-2-skate-shoe-3Q3vrl.jpg,$9995,$0,
South,Texas,Houston,Outlet,Nike React Presto,AV2605-101,10,"Ideal for runs up to 3 miles, the Nike Free RN Flyknit 3.0 delivers a lace-free design so you can slip in and hit your stride. An updated flex groove pattern and modified midsole foam provides more flexibility than its predecessor, creating a barefoot sensation with every step. A mix of supportive and stretchy yarns are zonally placed for comfort that moves with your foot.",4,10,https://static.nike.com/a/images/t_PDP_1728_v1/mmt4hemae0hjzfo3laid/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/kn58thb4x3ddm5i5imkr/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/pcatukbqtmtfteujw9ij/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/ukd5b1w1mllebnqymkz8/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/z64dj72ufinei6m6mgki/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/ckcsagzdizbwhszatyvy/free-rn-flyknit-3-running-shoe-vVqwz6.jpg,$7697,$10995,
South,Texas,Houston,Outlet,Nike Legend React,AA1625-009,10,"The Nike Phantom Venom Academy FG is engineered for powerful, precise strikes that win games. Ridges on the instep create spin to control the flight of the ball, while the firm-ground plate provides the traction needed to unleash at any moment.",3,5,https://static.nike.com/a/images/t_PDP_1728_v1/c1b6a564-a475-46f3-acab-8076ecfca48c/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/fbf55013-d88d-4626-8e3c-d2360ba0159a/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/6d64a679-51b7-46db-9499-fd906a8fad2c/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/84345e2c-ef3f-4305-93a0-17e749e5ee83/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/3427842d-2a42-44d9-b6ec-41c14acad6cd/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/f7398cf0-0222-4ab9-874c-f2d9ca6393af/phantom-venom-academy-fg-football-boot-8K8CNP.jpg,$7495,$0,
South,Texas,Houston,Outlet,Air Jordan 1 Low SE,CK3022-005,10,"Designed for speed, stability and comfort, the Nike Air Ghost Racer was a hit 20 years ago?and now it's back in a stitch-for-stitch remake. And though it has all the same features as the original, it might be even better than you remember.",5,2,https://static.nike.com/a/images/t_PDP_1728_v1/v08gfolm1xl4ph79dszd/air-ghost-racer-shoe-CClwQd.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/jzfovha6bttpzeuakgc6/air-ghost-racer-shoe-CClwQd.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/agvo9xukqllwffunxnjn/air-ghost-racer-shoe-CClwQd.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/m25choaqw3u1oml80rxp/air-ghost-racer-shoe-CClwQd.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/rpqoixyzplvsslyujfau/air-ghost-racer-shoe-CClwQd.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/g4luyxrfujszdsjgt3gt/air-ghost-racer-shoe-CClwQd.jpg,$6997,$9995,
South,Texas,Houston,Outlet,NikeCourt Air Max Wildcard,AO7351-104,10,"Designed and tested in Oregon, the Nike ACG Antarktik is a ""jacket"" for your foot. Its tough ripstop upper combines with a GORE-TEX lining to help keep your foot dry. All-new lug details use hard rubber for traction in all conditions.",3,20,https://static.nike.com/a/images/t_PDP_1728_v1/e18ea80d-da31-4518-8b9a-7e9da490d429/acg-air-terra-antarktik-shoe-q2q0qj.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e7ec3775-e979-4b6c-82a6-b21ad5f964d1/acg-air-terra-antarktik-shoe-q2q0qj.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e683e5a4-6817-48c7-a830-6ef4fb5e5061/acg-air-terra-antarktik-shoe-q2q0qj.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/55f7e23e-8862-4faa-ba50-045f18ec2097/acg-air-terra-antarktik-shoe-q2q0qj.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/d8e8607e-0e33-4416-8662-e0e9db29502b/acg-air-terra-antarktik-shoe-q2q0qj.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e6ec8c8b-f100-4ac0-b3e3-5c2ed80c11d0/acg-air-terra-antarktik-shoe-q2q0qj.jpg,$15995,$0,
South,Texas,Houston,Outlet,Nike Blazer Low,AJ9515-001,10,"Originally released in 1994, the Nike Air Max 2 Light returns as a near-exact replica of the iconic runner. A mesh and synthetic leather upper, moulded heel and vibrant Air Max unit honour the OG. The soft foam midsole optimises all-day comfort.",0,0,https://static.nike.com/a/images/t_PDP_1728_v1/e18b6d12-0e41-4697-8bb9-9e6410d0150e/air-max-2-light-shoe-r1kSJt.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/85f278ed-2592-48ff-bad5-66b771c1db48/air-max-2-light-shoe-r1kSJt.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/4b614b1b-8e16-49e7-a85d-629e5d15e988/air-max-2-light-shoe-r1kSJt.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/fdc2d71a-cbfb-43bb-81ae-5ffd0504a99f/air-max-2-light-shoe-r1kSJt.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/e5df7003-f00b-490f-9f3c-8a168d57ec77/air-max-2-light-shoe-r1kSJt.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/7b81dbbc-b821-4cbc-9774-364ce0134a8c/air-max-2-light-shoe-r1kSJt.jpg,$9597,$11995,
South,Texas,Houston,Outlet,Zoom LeBron 3 QS,AO2434-101,10,"Building on the forefoot plate innovation of the 6, the Nike Mercurial Superfly 7 Academy MG Boot adds a versatile multi-ground plate that provides traction on natural- and artificial-grass surfaces.",5,2,https://static.nike.com/a/images/t_PDP_1728_v1/v8f5640a5krvbxvuqa3r/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/svlktvp2neodykyyo4bf/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/kle5jzbicb5amsayi1to/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/zczz8vmhhezyqwekwrox/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/n4yufdszrsfxearhpyby/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/ow0dv681h5ftlojn4xbs/mercurial-superfly-7-academy-mg-multi-ground-football-boot-9c8jVQ.jpg,$8495,$0,
South,Texas,Houston,Outlet,Nike Free Metcon 3,CJ0861-010,10,"Join the hoops uprising in the AlphaDunk, one of Nike Basketball's bounciest game shoes to date. The revamped upper construction is light and supportive and a large cushioning unit spans nearly the entire forefoot, giving you all the responsiveness you can handle on the court.",3,12,https://static.nike.com/a/images/t_PDP_1728_v1/uymy5ecxo9izfbvylyiy/alphadunk-basketball-shoe-qh0qTV.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/horlh9g2mlgpidmrsaaz/alphadunk-basketball-shoe-qh0qTV.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/qa74rxptbqbijyva0bhv/alphadunk-basketball-shoe-qh0qTV.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/trprwcxy96bcnkwy2eiu/alphadunk-basketball-shoe-qh0qTV.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/rbq3sbti6bffx7svvro9/alphadunk-basketball-shoe-qh0qTV.jpg,https://static.nike.com/a/images/t_PDP_1728_v1/uh2x3zzlnzkqk9rk63ip/alphadunk-basketball-shoe-qh0qTV.jpg,$11197,$15995,
